podName,nodeName,imageName,podStartTime,pullingTime,pulledTime,pullImageTotalTime
imagepullns/multi100m200testff4tv-c8cddd78f-mdmp8,cnnorth1a-pod16-common001-cna030,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:10,2019-01-18 18:29:22,2019-01-18 18:29:27,5000
imagepullns/multi100m200testff4tv-c8cddd78f-nk5nn,cnnorth1a-pod16-common001-cna071,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:08,2019-01-18 18:29:32,2019-01-18 18:29:33,1000
imagepullns/multi100m200testrzcfg-84b684d749-8sppc,cnnorth1a-pod16-common001-cna002,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:11,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-6cg75,cnnorth1a-pod16-common001-cna030,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:11,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-dl64f,cnnorth1a-pod16-common001-cna059,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-h7c2q,cnnorth1a-pod16-common001-cna058,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:02,2019-01-18 18:29:05,2019-01-18 18:29:07,2000
imagepullns/multi100m200test4b6mp-6b6c94d6b9-t5tk6,cnnorth1a-pod16-common001-cna055,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:02,2019-01-18 18:29:04,2019-01-18 18:29:07,3000
imagepullns/multi100m200testbjmzl-5fd7448897-26qmr,cnnorth1a-pod16-common001-cna010,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:07,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-9222g,cnnorth1a-pod16-common001-cna015,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:05,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-grvhn,cnnorth1a-pod16-common001-cna065,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:07,0001-01-01 00:00:00,0001-01-01 00:00:00,0
